base_name,step1_file,step3_file,bleu_score,edit_distance,step1_syntax_errors,step1_expression_errors,step3_syntax_errors,step3_expression_errors,yaml_improved,actionlint_improved
390729358c7eab336426c210ceb7cdb9e546ce85ff0e31a94ee357a8ed7453b8,390729358c7eab336426c210ceb7cdb9e546ce85ff0e31a94ee357a8ed7453b8,e0fb02fc710efbe99e2494b1829839854837c7fab915fe2297c8cb4ce61f30b4,0.9995,1,1,0,0,0,True,True
ae4bc36608a8ca3106793c872bfca050c62cf4b19ef659088a91b3d930f08ad2,ae4bc36608a8ca3106793c872bfca050c62cf4b19ef659088a91b3d930f08ad2,844d2750f7b5910f7bbc92c496bd0f9e1587b1ac9d9409669b3723d9d0d57b3c,0.9995,1,1,0,0,0,True,True
373ba5420105f296d15b33784eb4746817f45120d2043b1f5ad880563f3ffb29,373ba5420105f296d15b33784eb4746817f45120d2043b1f5ad880563f3ffb29,1dbddba69ea0e157fa1b76d52faba71274e5c486959cc7323e2c23e6d66bef26,0.9988,3,1,0,0,0,True,True
80147b6462273e35efd7b5483eb17ba348536845fbeb8d30c2be4a9a5c83e64b,80147b6462273e35efd7b5483eb17ba348536845fbeb8d30c2be4a9a5c83e64b,de895f9bbcbce888f770e802dbe2ffcc460eaf16a8ee44d6a85af157f470c809,0.9988,3,1,0,0,0,False,True
6eff65cbf50ad592ad73589cae581b5a982c70d2b4308be879a24ed615d0b6d2,6eff65cbf50ad592ad73589cae581b5a982c70d2b4308be879a24ed615d0b6d2,6d1058453c748f8219cbbb5a4649ab36c20b1e6a4219673262ebe17a614e10d1,0.9987,108,1,0,0,0,False,True
8e9391de0567571cff378c6ef1852d71860871f8d442ac9854dec1f98b361b5f,8e9391de0567571cff378c6ef1852d71860871f8d442ac9854dec1f98b361b5f,81552ce1a6ed0bd576b111e820c5396e03cc4b9f36bf343a2a491ceecb28866c,0.9987,140,1,0,0,0,False,True
7f36bf50d89b13a918e23049bd5e93ad170e56241f7ed3775ef2f9b4f7f438de,7f36bf50d89b13a918e23049bd5e93ad170e56241f7ed3775ef2f9b4f7f438de,d9ac8550b3a66327dc53e91445dad5514c0a1335782a049b0d26fe050a481218,0.9986,3,1,0,0,0,True,True
3f058d0b0f91b8b2802a3a55d8ee10ee293eda94ea42895870521fdacb2a0f7d,3f058d0b0f91b8b2802a3a55d8ee10ee293eda94ea42895870521fdacb2a0f7d,70013800fa123edf8862e6fea5cd99a5715a496ffcb44900523c1e3873b1578a,0.9986,3,1,0,0,0,True,True
90f87346cd50e8e39160bfbf10532d88817593e4cdacb78b31abe089b1f63e6e,90f87346cd50e8e39160bfbf10532d88817593e4cdacb78b31abe089b1f63e6e,42c6b3ecb94aa3bc6192400237d07034006fb5db8acce87f2e9feaee9303991c,0.9986,3,1,0,0,0,True,True
7edc1668fd215b74cae3634f883cf6b001c1bbdf8b7dbcf9e2571c48fe1b0748,7edc1668fd215b74cae3634f883cf6b001c1bbdf8b7dbcf9e2571c48fe1b0748,c682bc092deed49c70122c685fcd242627e01fe2c97eb5956e4fd9e8431f2163,0.9986,3,1,0,0,0,True,True
20759eea3e09b3164a1f63b3f684015846223dadbfca1989e726235309365a2a,20759eea3e09b3164a1f63b3f684015846223dadbfca1989e726235309365a2a,0c901edb628b1157ccaedc87cb595dc92d1a79dfa44993b71efdf36e028b383f,0.9985,1,1,0,0,0,True,True
4abbf7417cfd799e393b7ae994354747f06f26202a046e57f8a73f6ce6b9eb81,4abbf7417cfd799e393b7ae994354747f06f26202a046e57f8a73f6ce6b9eb81,960a315d0b98d1636dd0ecf47b202064aa3a175090ce41abefb99f41702e74e9,0.9982,4,4,0,0,0,False,True
a4ae15ca766363ae7dc12c1bd4889c03da688a37a420242b66f7c19966864090,a4ae15ca766363ae7dc12c1bd4889c03da688a37a420242b66f7c19966864090,080a1dfdc40a3460f9827b875205e7d56938bf5b7a28f8566c04837dc8648d70,0.9982,4,4,0,0,0,False,True
26e38a621684de9a21624e035efbb2df565dfc3c95c88c9f8da233df57495f34,26e38a621684de9a21624e035efbb2df565dfc3c95c88c9f8da233df57495f34,80590e153ed682faecc719306ccb47b7cd093e64a20a1c805bc459ff827d7d59,0.9982,4,4,0,0,0,False,True
5daea6898ab0327582c419ae572087e455fcd91479eafa2d9a4ae0019740e334,5daea6898ab0327582c419ae572087e455fcd91479eafa2d9a4ae0019740e334,2facb53a33d5870b271f44c2faffdba66d624d4b91cb4dbe7e7ccee522be672f,0.9982,4,4,0,0,0,False,True
da9469a54456ef45f6aba2136493f41d8d5fc1dfe8e6047387ccacc1a158db9f,da9469a54456ef45f6aba2136493f41d8d5fc1dfe8e6047387ccacc1a158db9f,c7b95b81614b7aee0a980d4229e93b419a7d01d0810bb3ad1512b5e2fc2d54af,0.9978,1,1,0,0,0,False,True
67be4ccb9dd96874ae77e74a1e28a08cbc66557444646a4aba898d25239cdf16,67be4ccb9dd96874ae77e74a1e28a08cbc66557444646a4aba898d25239cdf16,0b3071ca2cedbddbe0417b1e10f4c419afe169955ea89e0c6f54ab8e7f11e0dc,0.9975,7,1,0,0,0,True,True
9c282e1a597a6ffef9ddc278b453ad9db31020c4e881f27b59f633a83ed64ae5,9c282e1a597a6ffef9ddc278b453ad9db31020c4e881f27b59f633a83ed64ae5,05ef63e6881fe169cbbbc491f60d9916e87e4864dfe8cb6631c18f731c80edf3,0.9975,7,1,0,0,0,True,True
9d4e4be6368dee40ace89aac424ab28fa12cff18939444e3cfae9925aa420a3a,9d4e4be6368dee40ace89aac424ab28fa12cff18939444e3cfae9925aa420a3a,95a0457be7b9ac7ddc0b383ede36cce441c0e53b47af471c78962b99b98a38a0,0.9975,7,1,0,0,0,True,True
fa775601b46f5637564b59e2c527cfb106d3a742770b5fc596cfc1c81368d3de,fa775601b46f5637564b59e2c527cfb106d3a742770b5fc596cfc1c81368d3de,53d93f2ebeda4481fb44b671c4c7e97466cee319750070fa55f4e55561ff07b8,0.9973,8,1,0,0,0,True,True
ff6e698b7b3689568e4b1c4479326699c7b593c82f24928c8a79a2c6b56838fa,ff6e698b7b3689568e4b1c4479326699c7b593c82f24928c8a79a2c6b56838fa,9905af22580bdb3640c54ecc59ea07b89334ee85f82e55c03486d66b490db14d,0.9973,8,1,0,0,0,True,True
763d52fbb1b60afda3cea8bd18194c042dc5b731f7b18e24fc0e56ce1bbc9050,763d52fbb1b60afda3cea8bd18194c042dc5b731f7b18e24fc0e56ce1bbc9050,0a18ef2d5d043380a25a5deb3bddbb0fdc1b4db7d974652699598ec53356d176,0.9973,8,1,0,0,0,True,True
f74e684505d8c1453e80608097ebcab1743cc271d8a3b36756b21e4bcc25f7c0,f74e684505d8c1453e80608097ebcab1743cc271d8a3b36756b21e4bcc25f7c0,e13ea254208109bb22b75aee601ade17f8988d3c5c2ab8c09b91184d58c0d692,0.9973,3,0,0,0,0,False,False
df5cbd95e283e978ca5972573f3e40d418ba413095662eb809813f9b3524d1d8,df5cbd95e283e978ca5972573f3e40d418ba413095662eb809813f9b3524d1d8,85fb5d9710a12015965fa590ccd3faefa39b5d6dcf135d7a68ae45e971d84056,0.9971,2,1,0,0,0,True,True
63ed62b5490eee5318bf12290e277f387695212b19ee53364bd0b8c3559c1808,63ed62b5490eee5318bf12290e277f387695212b19ee53364bd0b8c3559c1808,c7421cea559392a282432d7d8b3e934c70fd488148bd45742c2c7e59ab2f36bd,0.9963,1,1,0,0,0,True,True
c74d0961724c81ec72fdd4d825e9c76a90411d0edcd81fe77847698a79b3ae4b,c74d0961724c81ec72fdd4d825e9c76a90411d0edcd81fe77847698a79b3ae4b,55672cf38057471060a322b00ef77b6ea0c7923efc109e1f2d7dd9b4e70e32d7,0.9961,3,1,1,0,0,False,True
8c1e8c0820128f4cb5201f09f2689695f95836f635e9cfcc593b4b01417648ce,8c1e8c0820128f4cb5201f09f2689695f95836f635e9cfcc593b4b01417648ce,7addcec1a5e9889b445ccfd006bb6ef2207b0ca88dd6bcf616ac892f51f53872,0.9958,11,1,0,0,0,False,True
c3af1a10bbf80e06d2446756e6c24bd03f2d84b52899a8e4bc69be9132eb300d,c3af1a10bbf80e06d2446756e6c24bd03f2d84b52899a8e4bc69be9132eb300d,089e4c4bdebc0ea40e4397c084ae5c8c2aa5702a18dab6d2e678f38b3ac502f9,0.9958,4,1,0,0,0,True,True
f310cc248452671101446be46dae3f5b51b5fb947e973409b29a9e0b2f11819a,f310cc248452671101446be46dae3f5b51b5fb947e973409b29a9e0b2f11819a,b442e08104b19734ed0907a2e90f2c24717a57b58e20be538bec0a77a786e2ca,0.9956,1,1,0,0,0,True,True
7e085f038ed5c923cda07fe6cafebaabf19ad7a888ea24a69f4b860d03821278,7e085f038ed5c923cda07fe6cafebaabf19ad7a888ea24a69f4b860d03821278,f52ccd3c4ab4b515e7de155680f788d06a63486207d682454a7cd8288b6a9cde,0.9955,2,1,0,0,0,False,True
51828dabb9235d06e4c934b8f0abc5d44b14628a7bffb42fffda37cbddbf5ec5,51828dabb9235d06e4c934b8f0abc5d44b14628a7bffb42fffda37cbddbf5ec5,8468d4d9adeefc144339023aa50e03b22eb06a3954505c3b1d0fb7871f0e3f09,0.9946,1,1,0,0,0,True,True
d1c5ca8e5776f21b4b5d22bdf8b814e6c76602cc77b86bc5212d3917a0441394,d1c5ca8e5776f21b4b5d22bdf8b814e6c76602cc77b86bc5212d3917a0441394,9f6bc9927f9868d5d55a0f426231295945a78a3f372f21efdb8da89dbb8ff8f9,0.9939,5,1,0,0,0,True,True
b9db63b2610d9aa5c4110d9234b71b18edbba1c089ee345ba047f5f38a44ad9d,b9db63b2610d9aa5c4110d9234b71b18edbba1c089ee345ba047f5f38a44ad9d,9c4011b83da35fdac35ca55ef26ce2cf0d70e585c628d2e64ac084bd4ad6e278,0.9937,1,1,0,0,0,True,True
9c1ff250f324a5fc4b41fc43743225379352a1a9bc3bad40d523c4a568a07b04,9c1ff250f324a5fc4b41fc43743225379352a1a9bc3bad40d523c4a568a07b04,4ef2ede648187cf4d659c19b0ebaa73958d1aaaa076082527c8d4879aa05f6ed,0.9935,2,1,0,0,0,False,True
64b86bcab6e62fe871cdce9cc0ae93bd81ec82c66213cead884b14fd2b19adf2,64b86bcab6e62fe871cdce9cc0ae93bd81ec82c66213cead884b14fd2b19adf2,20b57bc7d5e2890102689e5d86abf883cedab011ac161dc28141eb145a8c8a4b,0.9934,8,1,0,0,0,False,True
eccb8f71461194fd41fbef0c0b1f270bab293d84b91926ca473c7054f6cd3baa,eccb8f71461194fd41fbef0c0b1f270bab293d84b91926ca473c7054f6cd3baa,b50a891b4d3bc3760cee1dd2b5ea495feb34be43fc8894ee470572607f485efa,0.9932,3,1,0,0,0,True,True
91033a20602f70fb8f17e09ede173617481db99f20cbc0837ea20359ef33c956,91033a20602f70fb8f17e09ede173617481db99f20cbc0837ea20359ef33c956,e1e52b1a95bc2cb5720693b0f07b0c4a8338f8b58c54da63965b65ba085d57a6,0.9932,2,1,0,0,0,True,True
fb4d8e70acfef95bdb1de5bbf58232c3ab2f671dec63afa421f546e372ca351a,fb4d8e70acfef95bdb1de5bbf58232c3ab2f671dec63afa421f546e372ca351a,36aafaa4add73efb107859e91ec2ef8b7dcb78653da1f5994c03b0c63b1e0361,0.9929,2,1,0,0,0,False,True
3d53d73cb7d355e37c5d769f6ebda5c6a8ad65d8607c8927a24b67183d42a3f5,3d53d73cb7d355e37c5d769f6ebda5c6a8ad65d8607c8927a24b67183d42a3f5,dfb39555f481fcd2500f8de60b5400a413016b1021adf2dd2d43c9ff4f795b42,0.9928,3,1,0,0,0,False,True
fb7ac894c399f63487387093ff11a693e75dd44ef201fece698b384832e52821,fb7ac894c399f63487387093ff11a693e75dd44ef201fece698b384832e52821,b502457c8c7bb1c43b74c99abcc271bf9f71b78fcf510473a5e378a3e0feb612,0.9926,3,1,0,0,0,True,True
58edc0152c9bff0af42179d9ecb7807a35985286425c545118843c53bcbad244,58edc0152c9bff0af42179d9ecb7807a35985286425c545118843c53bcbad244,f91dd58d15ec8708371530a36d895842cdb2e0ce8544eb06781f40d87c6ee940,0.9926,1,0,0,0,0,False,False
7c8b925cc1c4e4c9b60bfc56d8a10d125276c579207d6327e8f4864a7756f1ed,7c8b925cc1c4e4c9b60bfc56d8a10d125276c579207d6327e8f4864a7756f1ed,774475d1a1596de70a069300a1f3f4af061105e9bcb091af43859c0c61a2551a,0.9925,3,1,0,0,0,False,True
d94c655b63540ac0b28f3bdf974297ee78ab4c6659403f781a15d318ec63b09e,d94c655b63540ac0b28f3bdf974297ee78ab4c6659403f781a15d318ec63b09e,bc051819a5f20dfcf9ea79cd5f908caee0eb05f5628d8982453256782e9577f4,0.9925,2,1,0,0,0,False,True
aa2f35f801f8f587d375fe858f6cd71cb6c18f5d167a566a7c8a93a35044bfbb,aa2f35f801f8f587d375fe858f6cd71cb6c18f5d167a566a7c8a93a35044bfbb,7d9f933bc080fb73448ef43f60ebf6aef74750ecf91f478094395bd0f9df27f5,0.9922,1,1,0,0,0,False,True
780d7dfb286b1195a8fe495cf8b0e0af995ec7dc76bd67cab8ced72de5ba5139,780d7dfb286b1195a8fe495cf8b0e0af995ec7dc76bd67cab8ced72de5ba5139,b4dd0fef3e2d3a76e13b9a85df814944364776471e5d5ea8e85491224aa2d38f,0.9918,85,1,0,0,0,False,True
12c21752ef85ac68e24fdf51b9a066632cf1d67d51dc95b9de5b9426650d5862,12c21752ef85ac68e24fdf51b9a066632cf1d67d51dc95b9de5b9426650d5862,fe1e2aa86c5fe41abccd18425aca8f9a8baf4559474bebd1665ab83aced39ab5,0.9918,2,1,0,0,0,True,True
4a7afae68709eeda06d73d6410c5ca75a02b4b0142825b2b00c23f7da2ee585a,4a7afae68709eeda06d73d6410c5ca75a02b4b0142825b2b00c23f7da2ee585a,68d59c9a68682ac6fb085b64ebf8134e1105226542e092b44bd736f56532c61f,0.9918,1,1,0,0,0,False,True
597aeb10e15f7fe18a37362f3abb691dc1cd476dd5e424f254ab845e42cf10c8,597aeb10e15f7fe18a37362f3abb691dc1cd476dd5e424f254ab845e42cf10c8,59bfde10fec9e2cc7d848167aaa2b9ed31f7cf8f1690a5b29ce230335af96e76,0.9916,1,1,0,0,0,True,True
9c31460e116371089545cf5952c5aba4c7e1a0b9257621f62ebc80410f73a201,9c31460e116371089545cf5952c5aba4c7e1a0b9257621f62ebc80410f73a201,06f2a74d7619089c355186a7ead807da41357a281379e7c25eadb4b24017818e,0.9913,15,2,1,0,0,False,True
