Org,Repo,Yaml,Smell 1,Smell 2,Smell 3,Smell 4,Smell 5,Smell 6,Smell 7,Smell 8,Smell 9,Smell 10,Smell 11,Smell 12,Smell 13,Smell 14,Smell 15,Smell 16,Smell 17,Smell 18,Smell 19,Smell 20,Smell 21,Smell 22,Smell 23
keycloak,keycloak,guides.yml,,,,,Tool,,,Tool,,,,Tool,,Tool,Tool,Tool,,,Tool,,,,
parcel-bundler,parcel,release.yml,,Tool,,,Tool,,,,,,Tool,Tool,Tool,Tool,Tool,Tool,,,Tool,,,,
jquery,jquery,filestash.yml,,,,,Tool,,Tool,Tool,,,,,,Tool,Tool,,Tool,Tool,,,,,
alibaba,sentinel,ci.yml,Tool,Tool,,,Tool,Tool,Tool,Tool,,,Tool,Tool,,Tool,Tool,,,,Tool,,Tool,,
oracle,graal,quarkus.yml,,Tool,,,Tool,Tool,,,Tool,Tool,,Tool,Tool,Tool,Tool,Tool,,Tool,Tool,,,Tool,
spacedriveapp,spacedrive,ci.yml,,Tool,,Tool,,,,,,Tool,,Tool,,Tool,,,,Tool,,,,,
keycloak,keycloak,js-ci.yml,,,,,Tool,,,Tool,,,Tool,Tool,,Tool,Tool,Tool,,Tool,Tool,Tool,,,
cypress-io,cypress,upload_release_asset.yml,Tool,Tool,Tool,,Tool,,,,,,,Tool,Tool,Tool,Tool,,,Tool,,,,,
google,gson,build.yml,,,,Tool,Tool,Tool,Tool,Tool,,,,Tool,,Tool,Tool,Tool,,Tool,Tool,,,Tool,
netty,netty,ci-pr.yml,,Tool,,,Tool,,,,,Tool,,Tool,,Tool,Tool,Tool,Tool,,Tool,,,,
pixijs,pixi.js,release.yml,Tool,Tool,,,Tool,,,,,Tool,,Tool,Tool,Tool,,,,,,,,,
hpcaitech,ColossalAI,compatiblity_test_on_schedule.yml,Tool,Tool,,Tool,Tool,,,,Tool,,,Tool,Tool,Tool,Tool,Tool,,Tool,,Tool,,,
abpframework,abp,update-versions.yml,,Tool,,,Tool,,,,,,,Tool,,Tool,Tool,,,Tool,,Tool,Tool,,
microsoft,semantic-kernel,generate-pr-description.yml,,Tool,,Tool,Tool,,,,,,,Tool,,Tool,Tool,,,,,,,,
appwrite,appwrite,check-dependencies.yml,,Tool,,,,Tool,,,,,,Tool,,Tool,,,,,,,,,
redisson,redisson,codeql-analysis.yml,,Tool,,,Tool,Tool,Tool,Tool,Tool,,,Tool,Tool,Tool,Tool,,Tool,,,,,,
